Molecule 1                    ,Molecule 2                    ,Cosine Similarity             ,Molecule 2 unique?            
test_1.gjf                    ,test_2.gjf                    ,99.73517                      ,No                            
test_1.gjf                    ,test_3.gjf                    ,99.52534                      ,No                            
test_1.gjf                    ,test_4.gjf                    ,99.38288                      ,No                            
test_1.gjf                    ,test_5.gjf                    ,99.44503                      ,No                            
test_1.gjf                    ,test_6.gjf                    ,98.54976                      ,No                            
test_1.gjf                    ,test_7.gjf                    ,98.79652                      ,No                            
test_1.gjf                    ,test_8.gjf                    ,98.83757                      ,No                            
test_1.gjf                    ,test_9.gjf                    ,97.54712                      ,Yes                           
test_1.gjf                    ,test_10.gjf                   ,97.57326                      ,Yes                           
test_1.gjf                    ,test_11.gjf                   ,97.59953                      ,Yes                           
test_1.gjf                    ,test_12.gjf                   ,97.55136                      ,Yes                           
test_1.gjf                    ,test_13.gjf                   ,97.5623                       ,Yes                           
test_1.gjf                    ,test_14.gjf                   ,97.50197                      ,Yes                           
test_1.gjf                    ,test_15.gjf                   ,97.66228                      ,Yes                           
test_1.gjf                    ,test_16.gjf                   ,98.18448                      ,Yes                           
test_1.gjf                    ,test_17.gjf                   ,98.13517                      ,Yes                           
test_1.gjf                    ,test_18.gjf                   ,97.16806                      ,Yes                           
test_1.gjf                    ,test_19.gjf                   ,97.24635                      ,Yes                           
test_1.gjf                    ,test_20.gjf                   ,97.24282                      ,Yes                           
test_1.gjf                    ,test_21.gjf                   ,97.28712                      ,Yes                           
test_1.gjf                    ,test_22.gjf                   ,97.05412                      ,Yes                           
test_1.gjf                    ,test_23.gjf                   ,97.36722                      ,Yes                           
test_1.gjf                    ,test_24.gjf                   ,98.66656                      ,No                            
test_1.gjf                    ,test_25.gjf                   ,98.63101                      ,No                            
test_1.gjf                    ,test_26.gjf                   ,98.70251                      ,No                            
test_1.gjf                    ,test_27.gjf                   ,97.59276                      ,Yes                           
test_1.gjf                    ,test_28.gjf                   ,97.62859                      ,Yes                           
test_1.gjf                    ,test_29.gjf                   ,97.64893                      ,Yes                           
test_1.gjf                    ,test_30.gjf                   ,98.55886                      ,No                            
test_1.gjf                    ,test_31.gjf                   ,98.55369                      ,No                            
test_1.gjf                    ,test_32.gjf                   ,99.41764                      ,No                            
test_1.gjf                    ,test_33.gjf                   ,99.32104                      ,No                            
test_1.gjf                    ,test_34.gjf                   ,99.29941                      ,No                            
test_1.gjf                    ,test_35.gjf                   ,97.94419                      ,Yes                           
test_1.gjf                    ,test_36.gjf                   ,97.94283                      ,Yes                           
test_1.gjf                    ,test_37.gjf                   ,97.90142                      ,Yes                           
test_1.gjf                    ,test_38.gjf                   ,97.9039                       ,Yes                           
test_1.gjf                    ,test_39.gjf                   ,99.32454                      ,No                            
test_1.gjf                    ,test_40.gjf                   ,97.97633                      ,Yes                           
test_1.gjf                    ,test_41.gjf                   ,98.31372                      ,Yes                           
test_1.gjf                    ,test_42.gjf                   ,98.31337                      ,Yes                           
test_1.gjf                    ,test_43.gjf                   ,97.62307                      ,Yes                           
test_1.gjf                    ,test_44.gjf                   ,97.61972                      ,Yes                           
test_1.gjf                    ,test_45.gjf                   ,97.61025                      ,Yes                           
test_1.gjf                    ,test_46.gjf                   ,96.83156                      ,Yes                           
test_1.gjf                    ,test_47.gjf                   ,97.63004                      ,Yes                           
test_1.gjf                    ,test_48.gjf                   ,97.62958                      ,Yes                           
test_1.gjf                    ,test_49.gjf                   ,97.58408                      ,Yes                           
test_1.gjf                    ,test_50.gjf                   ,97.32272                      ,Yes                           
test_1.gjf                    ,test_51.gjf                   ,97.34108                      ,Yes                           
test_1.gjf                    ,test_52.gjf                   ,97.33306                      ,Yes                           
test_1.gjf                    ,test_53.gjf                   ,97.35977                      ,Yes                           
