Molecule 1                    ,Molecule 2                    ,Cosine Similarity             ,Molecule 2 unique?            
Fluoxetine_6.gjf              ,Fluoxetine_22.gjf             ,97.49607                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_23.gjf             ,97.87647                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_24.gjf             ,98.12652                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_25.gjf             ,98.20733                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_26.gjf             ,98.18209                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_27.gjf             ,98.00167                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_28.gjf             ,98.03187                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_29.gjf             ,98.04408                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_30.gjf             ,98.00483                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_31.gjf             ,98.08297                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_35.gjf             ,98.62447                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_36.gjf             ,98.62252                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_37.gjf             ,98.48315                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_38.gjf             ,98.49467                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_40.gjf             ,98.60418                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_41.gjf             ,98.78151                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_42.gjf             ,98.70252                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_43.gjf             ,98.03859                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_44.gjf             ,98.03695                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_45.gjf             ,97.97604                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_46.gjf             ,97.28807                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_47.gjf             ,97.98033                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_48.gjf             ,97.92464                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_49.gjf             ,97.98383                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_50.gjf             ,97.79366                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_51.gjf             ,97.80813                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_52.gjf             ,97.80193                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_53.gjf             ,97.82691                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_54.gjf             ,97.86919                      ,Yes                           
Fluoxetine_6.gjf              ,Fluoxetine_55.gjf             ,98.15968                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_10.gjf             ,99.84806                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_11.gjf             ,99.7337                       ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_12.gjf             ,99.91084                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_13.gjf             ,99.93317                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_14.gjf             ,99.88434                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_15.gjf             ,99.6216                       ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_16.gjf             ,98.55672                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_17.gjf             ,97.71149                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_18.gjf             ,98.99996                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_19.gjf             ,99.10985                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_20.gjf             ,99.10797                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_21.gjf             ,99.17084                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_22.gjf             ,98.87306                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_23.gjf             ,99.23747                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_24.gjf             ,97.95383                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_25.gjf             ,98.07176                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_26.gjf             ,98.03215                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_27.gjf             ,99.3374                       ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_28.gjf             ,99.26683                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_29.gjf             ,99.23331                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_30.gjf             ,97.96266                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_31.gjf             ,98.08815                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_35.gjf             ,97.81898                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_36.gjf             ,97.84368                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_37.gjf             ,97.79277                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_38.gjf             ,97.76158                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_40.gjf             ,97.82334                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_41.gjf             ,97.60726                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_42.gjf             ,97.66453                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_43.gjf             ,98.83017                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_44.gjf             ,98.83122                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_45.gjf             ,98.78725                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_46.gjf             ,97.29655                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_47.gjf             ,98.87426                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_48.gjf             ,98.82019                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_49.gjf             ,98.88144                      ,Yes                           
Fluoxetine_9.gjf              ,Fluoxetine_50.gjf             ,99.36941                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_51.gjf             ,99.38325                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_52.gjf             ,99.38099                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_53.gjf             ,99.42716                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_54.gjf             ,99.44553                      ,No                            
Fluoxetine_9.gjf              ,Fluoxetine_55.gjf             ,98.7986                       ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_17.gjf             ,98.11475                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_18.gjf             ,98.08844                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_22.gjf             ,97.93625                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_24.gjf             ,97.97421                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_25.gjf             ,98.04701                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_26.gjf             ,98.05311                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_30.gjf             ,97.94333                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_31.gjf             ,98.03392                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_35.gjf             ,97.73796                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_36.gjf             ,97.74203                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_37.gjf             ,97.68589                      ,Yes                           
Fluoxetine_16.gjf             ,Fluoxetine_38.gjf             ,97.67471                      ,Yes                           
