Filename                 ,DLPNO-CCSD(T) energy     
Fentanyl_OProt_1.out     ,-1038.386146414          
Fentanyl_OProt_12.out    ,-1038.385188181          
Fentanyl_OProt_184.out   ,-1038.388534339          
Fentanyl_OProt_21.out    ,-1038.381829057          
Fentanyl_OProt_38.out    ,-1038.385355421          
Fentanyl_OProt_39.out    ,-1038.385321999          
Fentanyl_OProt_47.out    ,-1038.383195498          
