Filename                 ,Imaginary Frequencies    ,Electronic energy        ,ZPE correction           ,Thermal correction       ,Enthalpy correction      ,Gibbs Correction         ,Total ZPE                ,Total Thermal Energy     ,Total Enthalpy           ,Total Entropy (T*S)      ,Total Gibbs Energy       ,Relative Gibbs Energy    ,Rot. const. A            ,Rot. const. B            ,Rot. const. C            ,Rot. Symm. Number        ,Dipole X                 ,Dipole Y                 ,Dipole Z                 ,Total Dipole             ,Isotropic Polarizability ,Trans. Part. func.       ,Rot. Part. func.         ,Vib. Part. function      ,Elec. Part. func.        ,
Fentanyl_OProt_1.out     ,0                        ,-1041.209436988046       ,0.4787665861342723       ,0.0230843843683447       ,0.5027951553702689       ,0.4229388565788311       ,-1040.7306704019118      ,-1040.7075860175437      ,-1040.7066418326758      ,0.0798562987914377       ,-1040.7864981314672      ,0.0                      ,1.119                    ,0.5555                   ,0.4293                   ,1                        ,11.613140779823242       ,2.0176642567305225       ,0.3350022663320982       ,11.79211                 ,N/A                      ,246923238.93551868       ,10235273.762292895       ,18892410836.55634        ,1.0                      ,
Fentanyl_OProt_12.out    ,0                        ,-1041.208787553724       ,0.4792481224254802       ,0.0220579585098139       ,0.502250265802946        ,0.4267913798685125       ,-1040.7295394312985      ,-1040.707481472789       ,-1040.706537287921       ,0.0754588859344334       ,-1040.7819961738555      ,11.819888086398295       ,1.264                    ,0.385                    ,0.3338                   ,1                        ,11.949312249816288       ,0.6170091058582461       ,0.9320586575415812       ,12.00173                 ,N/A                      ,246923238.93551868       ,13118673.229666067       ,414908190.3406097        ,1.0                      ,
Fentanyl_OProt_184.out   ,0                        ,-1041.210883681981       ,0.4803386357049208       ,0.0223566568431041       ,0.5036394774156767       ,0.4290793687246379       ,-1040.730545046276       ,-1040.708188389433       ,-1040.7072442045653      ,0.0745601086910388       ,-1040.7818043132563      ,12.323618020474008       ,0.8609                   ,0.7529                   ,0.6986                   ,1                        ,6.09040728734186         ,0.7986677703101054       ,-1.095620082719658       ,6.23961                  ,N/A                      ,246923238.93551868       ,7857378.772203251        ,194878632.08497983       ,1.0                      ,
Fentanyl_OProt_21.out    ,0                        ,-1041.206695853801       ,0.4789884568794147       ,0.0229644144979387       ,0.5028970562450054       ,0.4251497256700556       ,-1040.7277073969217      ,-1040.7047429824236      ,-1040.703798797556       ,0.0777473305749497       ,-1040.781546128131       ,13.00148297414527        ,0.9851                   ,0.5758                   ,0.5057                   ,1                        ,9.859919890233778        ,0.4563452723616457       ,1.0756165331291148       ,9.92911                  ,N/A                      ,246923238.93551868       ,9872212.970953638        ,2382854149.06258         ,1.0                      ,
Fentanyl_OProt_38.out    ,0                        ,-1041.208952884905       ,0.4792705168132484       ,0.0230157220323496       ,0.5032304237132499       ,0.4238161970402235       ,-1040.7296823680915      ,-1040.7066666460596      ,-1040.705722461192       ,0.0794142266730264       ,-1040.785136687865       ,3.574469686942491        ,1.3731                   ,0.4609                   ,0.3952                   ,1                        ,5.946112305098511        ,-0.2515567093997554      ,-0.6100701363052368      ,5.98274                  ,N/A                      ,246923238.93551868       ,10572411.946216242       ,12315622053.697723       ,1.0                      ,
Fentanyl_OProt_39.out    ,0                        ,-1041.208958071245       ,0.4793284733976659       ,0.0230119426276972       ,0.503284600893015        ,0.4237288465175527       ,-1040.7296295978474      ,-1040.7066176552196      ,-1040.705673470352       ,0.0795557543754622       ,-1040.7852292247271      ,3.331514188564423        ,1.3708                   ,0.4599                   ,0.3943                   ,1                        ,5.875502570965692        ,-1.063873661577868       ,-0.6485267697620246      ,6.00628                  ,N/A                      ,246923238.93551868       ,10604857.596955614       ,14320631014.784609       ,1.0                      ,
Fentanyl_OProt_47.out    ,0                        ,-1041.207054200675       ,0.4788085955453045       ,0.0223403043281817       ,0.5020930847411381       ,0.4244732714194814       ,-1040.7282456051296      ,-1040.7059053008015      ,-1040.704961115934       ,0.0776198133216567       ,-1040.7825809292556      ,10.2846129943947         ,1.6289000000000002       ,0.259                    ,0.2414                   ,1                        ,15.613037338863426       ,2.822711812234054        ,-0.3000786613290403      ,15.8693                  ,N/A                      ,246923238.93551868       ,16568044.630430738       ,2402466776.90475         ,1.0                      ,
